PUERTO,OPERACIÓN,AÑO,TIPO_CARGA,TONELADAS,REGIÓN,LATITUD,LONGITUD
Arica,Cabotaje embarcado,2016,Carga general,0,Arica y Parinacota,-18.47,-70.33
Arica,Cabotaje embarcado,2016,Granel sólido,8000.0,Arica y Parinacota,-18.47,-70.33
Arica,Cabotaje embarcado,2016,Granel líquido,0,Arica y Parinacota,-18.47,-70.33
Arica,Cabotaje desembarcado,2016,Carga general,3122.0,Arica y Parinacota,-18.47,-70.33
Arica,Cabotaje desembarcado,2016,Granel sólido,0,Arica y Parinacota,-18.47,-70.33
Arica,Cabotaje desembarcado,2016,Granel líquido,42892.0,Arica y Parinacota,-18.47,-70.33
Iquique,Cabotaje embarcado,2016,Carga general,40.0,Tarapacá,-20.2,-70.16
Iquique,Cabotaje embarcado,2016,Granel sólido,21655.0,Tarapacá,-20.2,-70.16
Iquique,Cabotaje embarcado,2016,Granel líquido,0,Tarapacá,-20.2,-70.16
Iquique,Cabotaje desembarcado,2016,Carga general,7665.0,Tarapacá,-20.2,-70.16
Iquique,Cabotaje desembarcado,2016,Granel sólido,0,Tarapacá,-20.2,-70.16
Iquique,Cabotaje desembarcado,2016,Granel líquido,115585.0,Tarapacá,-20.2,-70.16
Patillos,Cabotaje embarcado,2016,Carga general,0,Tarapacá,-20.75,-70.19
Patillos,Cabotaje embarcado,2016,Granel sólido,337541.0,Tarapacá,-20.75,-70.19
Patillos,Cabotaje embarcado,2016,Granel líquido,0,Tarapacá,-20.75,-70.19
Patillos,Cabotaje desembarcado,2016,Carga general,0,Tarapacá,-20.75,-70.19
Patillos,Cabotaje desembarcado,2016,Granel sólido,0,Tarapacá,-20.75,-70.19
Patillos,Cabotaje desembarcado,2016,Granel líquido,0,Tarapacá,-20.75,-70.19
Tocopilla,Cabotaje embarcado,2016,Carga general,0,Antofagasta,-22.09,-70.21
Tocopilla,Cabotaje embarcado,2016,Granel sólido,107963.0,Antofagasta,-22.09,-70.21
Tocopilla,Cabotaje embarcado,2016,Granel líquido,0,Antofagasta,-22.09,-70.21
Tocopilla,Cabotaje desembarcado,2016,Carga general,0,Antofagasta,-22.09,-70.21
Tocopilla,Cabotaje desembarcado,2016,Granel sólido,59630.0,Antofagasta,-22.09,-70.21
Tocopilla,Cabotaje desembarcado,2016,Granel líquido,0,Antofagasta,-22.09,-70.21
Puerto Angamos,Cabotaje embarcado,2016,Carga general,12582.0,Antofagasta,-23.07,-70.39
Puerto Angamos,Cabotaje embarcado,2016,Granel sólido,0,Antofagasta,-23.07,-70.39
Puerto Angamos,Cabotaje embarcado,2016,Granel líquido,0,Antofagasta,-23.07,-70.39
Puerto Angamos,Cabotaje desembarcado,2016,Carga general,253195.0,Antofagasta,-23.07,-70.39
Puerto Angamos,Cabotaje desembarcado,2016,Granel sólido,0,Antofagasta,-23.07,-70.39
Puerto Angamos,Cabotaje desembarcado,2016,Granel líquido,0,Antofagasta,-23.07,-70.39
Mejillones,Cabotaje embarcado,2016,Carga general,0,Antofagasta,-23.09,-70.42
Mejillones,Cabotaje embarcado,2016,Granel sólido,2314.0,Antofagasta,-23.09,-70.42
Mejillones,Cabotaje embarcado,2016,Granel líquido,0,Antofagasta,-23.09,-70.42
Mejillones,Cabotaje desembarcado,2016,Carga general,118366.0,Antofagasta,-23.09,-70.42
Mejillones,Cabotaje desembarcado,2016,Granel sólido,761574.0,Antofagasta,-23.09,-70.42
Mejillones,Cabotaje desembarcado,2016,Granel líquido,1687458.0,Antofagasta,-23.09,-70.42
Antofagasta,Cabotaje embarcado,2016,Carga general,0,Antofagasta,-23.65,-70.41
Antofagasta,Cabotaje embarcado,2016,Granel sólido,0,Antofagasta,-23.65,-70.41
Antofagasta,Cabotaje embarcado,2016,Granel líquido,0,Antofagasta,-23.65,-70.41
Antofagasta,Cabotaje desembarcado,2016,Carga general,4970.0,Antofagasta,-23.65,-70.41
Antofagasta,Cabotaje desembarcado,2016,Granel sólido,0,Antofagasta,-23.65,-70.41
Antofagasta,Cabotaje desembarcado,2016,Granel líquido,128729.0,Antofagasta,-23.65,-70.41
Chañaral / Barquito,Cabotaje embarcado,2016,Carga general,154695.0,Atacama,-26.36,-70.65
Chañaral / Barquito,Cabotaje embarcado,2016,Granel sólido,0,Atacama,-26.36,-70.65
Chañaral / Barquito,Cabotaje embarcado,2016,Granel líquido,0,Atacama,-26.36,-70.65
Chañaral / Barquito,Cabotaje desembarcado,2016,Carga general,0,Atacama,-26.36,-70.65
Chañaral / Barquito,Cabotaje desembarcado,2016,Granel sólido,0,Atacama,-26.36,-70.65
Chañaral / Barquito,Cabotaje desembarcado,2016,Granel líquido,122466.0,Atacama,-26.36,-70.65
